UPC: 848971016220, BASE TOTAL COST: 59.23, BASE DOLLAR ROI: 12.76, BASE PERCENT ROI: 22, GCG TOTAL COST: 58.09, GCG DOLLAR ROI: 13.9, GCG PERCENT ROI: 24
UPC: 848971015711, BASE TOTAL COST: 85.67, BASE DOLLAR ROI: -33.68, BASE PERCENT ROI: -39, GCG TOTAL COST: 84.02, GCG DOLLAR ROI: -32.03, GCG PERCENT ROI: -38
UPC: 848971015780, BASE TOTAL COST: 69.77, BASE DOLLAR ROI: -21.78, BASE PERCENT ROI: -31, GCG TOTAL COST: 68.43, GCG DOLLAR ROI: -20.44, GCG PERCENT ROI: -30
UPC: 848971016169, BASE TOTAL COST: 49.69, BASE DOLLAR ROI: -19.7, BASE PERCENT ROI: -40, GCG TOTAL COST: 48.74, GCG DOLLAR ROI: -18.75, GCG PERCENT ROI: -38
UPC: 848971016060, BASE TOTAL COST: 46.51, BASE DOLLAR ROI: -18.52, BASE PERCENT ROI: -40, GCG TOTAL COST: 45.62, GCG DOLLAR ROI: -17.63, GCG PERCENT ROI: -39
UPC: 848971015407, BASE TOTAL COST: 52.87, BASE DOLLAR ROI: 11.12, BASE PERCENT ROI: 21, GCG TOTAL COST: 51.85, GCG DOLLAR ROI: 12.14, GCG PERCENT ROI: 23
UPC: 848971016282, BASE TOTAL COST: 59.73, BASE DOLLAR ROI: 12.26, BASE PERCENT ROI: 21, GCG TOTAL COST: 58.59, GCG DOLLAR ROI: 13.4, GCG PERCENT ROI: 23
UPC: 848971016251, BASE TOTAL COST: 59.73, BASE DOLLAR ROI: 12.26, BASE PERCENT ROI: 21, GCG TOTAL COST: 58.59, GCG DOLLAR ROI: 13.4, GCG PERCENT ROI: 23
UPC: 848971016084, BASE TOTAL COST: 46.51, BASE DOLLAR ROI: -18.52, BASE PERCENT ROI: -40, GCG TOTAL COST: 45.62, GCG DOLLAR ROI: -17.63, GCG PERCENT ROI: -39
UPC: 848971015612, BASE TOTAL COST: 59.73, BASE DOLLAR ROI: -23.74, BASE PERCENT ROI: -40, GCG TOTAL COST: 58.59, GCG DOLLAR ROI: -22.6, GCG PERCENT ROI: -39
UPC: 848971015483, BASE TOTAL COST: 49.69, BASE DOLLAR ROI: 35.3, BASE PERCENT ROI: 71, GCG TOTAL COST: 48.74, GCG DOLLAR ROI: 36.25, GCG PERCENT ROI: 74
UPC: 848971015605, BASE TOTAL COST: 69.27, BASE DOLLAR ROI: 14.72, BASE PERCENT ROI: 21, GCG TOTAL COST: 67.93, GCG DOLLAR ROI: 16.06, GCG PERCENT ROI: 24
UPC: 848971016312, BASE TOTAL COST: 43.89, BASE DOLLAR ROI: 8.1, BASE PERCENT ROI: 18, GCG TOTAL COST: 43.04, GCG DOLLAR ROI: 8.95, GCG PERCENT ROI: 21
UPC: 848971016275, BASE TOTAL COST: 59.23, BASE DOLLAR ROI: 12.76, BASE PERCENT ROI: 22, GCG TOTAL COST: 58.09, GCG DOLLAR ROI: 13.9, GCG PERCENT ROI: 24
UPC: 848971016381, BASE TOTAL COST: 43.89, BASE DOLLAR ROI: 8.1, BASE PERCENT ROI: 18, GCG TOTAL COST: 43.04, GCG DOLLAR ROI: 8.95, GCG PERCENT ROI: 21
UPC: 848971015575, BASE TOTAL COST: 69.27, BASE DOLLAR ROI: -27.28, BASE PERCENT ROI: -39, GCG TOTAL COST: 67.93, GCG DOLLAR ROI: -25.94, GCG PERCENT ROI: -38
UPC: 848971030844, BASE TOTAL COST: 22.32, BASE DOLLAR ROI: 27.67, BASE PERCENT ROI: 124, GCG TOTAL COST: 21.9, GCG DOLLAR ROI: 28.09, GCG PERCENT ROI: 128
UPC: 848971016374, BASE TOTAL COST: 43.89, BASE DOLLAR ROI: -17.9, BASE PERCENT ROI: -41, GCG TOTAL COST: 43.04, GCG DOLLAR ROI: -17.05, GCG PERCENT ROI: -40
UPC: 848971016268, BASE TOTAL COST: 59.73, BASE DOLLAR ROI: 12.26, BASE PERCENT ROI: 21, GCG TOTAL COST: 58.59, GCG DOLLAR ROI: 13.4, GCG PERCENT ROI: 23
UPC: 848971015926, BASE TOTAL COST: 72.45, BASE DOLLAR ROI: -30.46, BASE PERCENT ROI: -42, GCG TOTAL COST: 71.05, GCG DOLLAR ROI: -29.06, GCG PERCENT ROI: -41
UPC: 848971030820, BASE TOTAL COST: 22.32, BASE DOLLAR ROI: 27.67, BASE PERCENT ROI: 124, GCG TOTAL COST: 21.9, GCG DOLLAR ROI: 28.09, GCG PERCENT ROI: 128
UPC: 848971015629, BASE TOTAL COST: 59.73, BASE DOLLAR ROI: -23.74, BASE PERCENT ROI: -40, GCG TOTAL COST: 58.59, GCG DOLLAR ROI: -22.6, GCG PERCENT ROI: -39
UPC: 848971015889, BASE TOTAL COST: 59.73, BASE DOLLAR ROI: -17.74, BASE PERCENT ROI: -30, GCG TOTAL COST: 58.59, GCG DOLLAR ROI: -16.6, GCG PERCENT ROI: -28
UPC: 848971030950, BASE TOTAL COST: 24.94, BASE DOLLAR ROI: 40.05, BASE PERCENT ROI: 161, GCG TOTAL COST: 24.48, GCG DOLLAR ROI: 40.51, GCG PERCENT ROI: 165
UPC: 848971015353, BASE TOTAL COST: 72.45, BASE DOLLAR ROI: -28.46, BASE PERCENT ROI: -39, GCG TOTAL COST: 71.05, GCG DOLLAR ROI: -27.06, GCG PERCENT ROI: -38
UPC: 848971015940, BASE TOTAL COST: 72.45, BASE DOLLAR ROI: -30.46, BASE PERCENT ROI: -42, GCG TOTAL COST: 71.05, GCG DOLLAR ROI: -29.06, GCG PERCENT ROI: -41
